date,be_ma_base,fr_ma_base,nl_ma_base,ger_ma_base,uk_ma_base_eur
1/2/07,56.75,53.85,57.5,53.25,50.705
1/3/07,54.5,53.75,55.575,53,51.3
1/4/07,54.5,53.95,55.75,53.1,50.59
1/5/07,53.1,52.25,54.1,51.5,48.735
1/8/07,50.375,49.35,51.4,49.25,47.07
1/9/07,49.75,49.2,51.5,49.25,45.015
1/10/07,49.5,48.25,51.25,47.9,44.48
1/11/07,48.25,48.75,51.25,48.5,45.365
1/12/07,50,48.75,51.25,48.45,46.08
1/15/07,50.5,49.25,52.75,49.2,46.815
1/16/07,55,54.25,56.5,53.95,49.85
1/17/07,52.75,51.25,53.75,50.9,47.04
1/18/07,51,49.975,51.5,49.2,47.415
1/19/07,51.5,50.5,52.5,49.6,46.575
1/22/07,49.9,49.25,51,48.2,46.415
1/23/07,48.75,46.45,48.25,45.45,42.685
1/24/07,46.25,45.75,46.75,44.05,42.835
1/25/07,45.75,45.3,45.25,43.75,42.275
1/26/07,45.125,45.7,45.75,43.75,41.73
1/29/07,44.1,44.25,44.5,42.425,39.455
1/30/07,44.5,44.5,45.25,43.6,38.2
1/31/07,44,43.25,44.75,41.625,37.37
2/1/07,41.125,40.9,41.75,39.4,35.995
2/2/07,39.5,39,40.5,38.25,34.875
2/5/07,39.3,39.075,40.5,38.55,35.05
2/6/07,39.5,39.75,40.75,39.5,35.15
2/7/07,39.25,38.4,40.125,38.25,35.41
2/8/07,38,37.45,40,37.5,34.795
2/9/07,37.75,37.5,39,36.75,33.78
2/12/07,36.25,35.75,37.4,35.2,32.235
2/13/07,34.3,33,35,34.1,31.455
2/14/07,32.75,33.025,35.2,33.1,31.115
2/15/07,34.75,34.8,35.75,35,32.59
2/16/07,35.8,34.575,36,34.4,31.5
2/19/07,31.25,31.025,33.25,32.2,30.83
2/20/07,30.75,30.65,33,31.9,30
2/21/07,30.1,30.025,33,32.1,29.985
2/22/07,29.5,29.6,31.75,30.95,29.865
2/23/07,29.5,30,32,31.15,30.845
2/26/07,29.875,29.6,31.25,30.15,31.665
2/27/07,29.5,28.5,30.25,29,30.555
2/28/07,29.5,28.5,29.625,29.25,30.195
3/1/07,30.5,29.75,32,30.5,33.235
3/2/07,31.3,29.25,31.25,29.4,32.315
3/5/07,29.5,28,30.5,28.5,30.165
3/6/07,29.2,28.5,31,29.15,30.295
3/7/07,29.2,28.8,31,29.5,30.395
3/8/07,29.25,29.2,31,29.9,30.835
3/9/07,29.75,30.125,31.25,30.6,31.175
3/12/07,30,30.75,32.25,31.1,31.665
3/13/07,30,29.4,31,29.7,30.705
3/14/07,29,28.35,29.8,28.6,30.6
3/15/07,29.5,29.45,30.7,29.1,31.14
3/16/07,29.15,28.375,30,28,30.92
3/19/07,28,27,28.7,26.75,29.415
3/20/07,27.5,27.15,28.625,26.8,29.315
3/21/07,27.5,27.6,28.4,26.8,29.605
3/22/07,27.5,27.2,28.6,26.7,29.235
3/23/07,27.5,27.5,28.75,26.95,29.93
3/26/07,27.5,27.25,28.6,26.7,30.75
3/27/07,27.55,27.5,28.875,26.85,30.32
3/28/07,27.875,27.75,28.8,27,30.925
3/29/07,28.75,29,31.5,27.9,31.03
3/30/07,28.75,29,31.5,28.175,30.115
4/2/07,28.5,28.5,32.5,29.25,30.89
4/3/07,29,28.75,32.75,29.25,30.955
4/4/07,28.5,28.1,32,28.85,30.695
4/5/07,28.25,28,32,28.9,30.28
4/10/07,29.7,29.75,34.375,30.15,30.105
4/11/07,31.25,30.2,36.5,31.25,29.985
4/12/07,31,29.875,37.2,31.15,29.86
4/13/07,31.25,29.875,39.5,31.25,30.13
4/16/07,29.5,27.75,39.75,30.1,30.205
4/17/07,28.5,27.875,40,29.9,29.81
4/18/07,28.25,27.55,40,29.55,28.875
4/19/07,29.25,26.75,39.5,28.8,28.36
